step,loss,accuracy,learning_rate,layer_1_grad_norm,layer_1_update_norm,layer_2_grad_norm,layer_2_update_norm,layer_3_grad_norm,layer_3_update_norm,layer_1_dead_relu_count,layer_2_dead_relu_count
0,0.8958441028683222,0.5,1.0,2.0560968737763696,2.0560968737763696,1.7929748200996123,1.7929748200996123,1.0636098873699893,1.0636098873699893,0,0
1,1.723590533697202,0.81,0.991,1.2799405421034946,1.2684210772245634,0.963661860571658,0.9549889038265126,0.8476603598069189,0.8400314165686568,1,2
2,0.7429006313851129,0.77,0.982,1.2312236861492099,1.209061659798524,0.7618696202506755,0.7481559670861628,0.5896607994816415,0.579046905090972,1,1
3,0.7705641260584198,0.82,0.973,0.562615925347236,0.5474252953628607,0.4245991731801681,0.4131349955043035,0.4752567301255264,0.46242479841213713,1,2
4,0.3692793385976538,0.84,0.964,0.20023957850521096,0.19303095367902343,0.13566986574082276,0.13078575057415318,0.10929545058368151,0.10536081436266896,1,2
5,0.31354548191852205,0.86,0.955,0.13245206210482907,0.12649171931011174,0.11427769603507441,0.10913519971349601,0.0957706401323484,0.09146096132639273,1,2
6,0.2814234349772434,0.89,0.946,0.09146124201550354,0.08652233494666633,0.0867420382549221,0.0820579681891563,0.07924100282347965,0.07496198867101174,1,2
7,0.26888733313983904,0.91,0.937,0.1443120188705015,0.13522036168165985,0.13140982718483055,0.12313100807218622,0.11204531331949616,0.10498645858036791,1,2
8,0.2567147286057417,0.91,0.9279999999999999,0.2280781781368905,0.2116565493110344,0.1796254200731231,0.16669238982785814,0.15397135515071722,0.14288541757986556,1,2
9,0.27048625516379227,0.91,0.919,0.2583880823096046,0.23745864764252655,0.18832061530465477,0.17306664546497783,0.18495745127464358,0.16997589772139746,1,2
10,0.2450702385365804,0.91,0.91,0.26139985617310296,0.23787386911752373,0.2094946583074409,0.1906401390597712,0.18103504738693824,0.1647418931221138,1,2
11,0.25099055297915035,0.92,0.901,0.2699846653760502,0.24325618350382125,0.1816055312237516,0.16362658363260016,0.1700667640926734,0.15323015444749874,1,2
12,0.21560951851922946,0.91,0.892,0.2606877438991934,0.23253346755808058,0.2047262104804092,0.18261577974852514,0.17259644444375338,0.15395602844382802,1,2
13,0.23090378446402737,0.93,0.883,0.2873877832252199,0.25376341258786916,0.19850065469743128,0.1752760780978318,0.16848236128895983,0.14876992501815153,1,2
14,0.20152151227899445,0.92,0.874,0.29219226038631685,0.25537603557764094,0.2322212594193569,0.2029613807325179,0.1854189908164932,0.1620561979736151,1,2
15,0.22574506279282222,0.93,0.865,0.330947780802973,0.28626983039457166,0.2452214546187572,0.212116558245225,0.2099667513759191,0.18162123994017002,1,2
16,0.19447987596204103,0.92,0.856,0.3126526138200204,0.2676306374299375,0.26287533529026313,0.22502128700846538,0.1998644680660936,0.17108398466457614,1,1
17,0.21089496199246363,0.93,0.847,0.3116971688776618,0.2640075020393795,0.21711601030606661,0.18389726072923848,0.16925983688508667,0.1433630818416684,1,1
18,0.159830773563036,0.94,0.838,0.27792871065686,0.23290425953044866,0.23137995197910885,0.1938963997584932,0.17937654298653208,0.15031754302271388,1,1
19,0.18453748746883927,0.93,0.829,0.3598328818296406,0.2983014590367721,0.28731153540419696,0.23818126285007918,0.2345340993458799,0.19442876835773445,1,1
20,0.1897752285608764,0.91,0.8200000000000001,0.39580432508521335,0.324559546569875,0.33017994865514744,0.2707475578972211,0.24360610293258986,0.1997570044047237,1,2
21,0.19072704042579636,0.93,0.8109999999999999,0.33889336815474963,0.2748425215735019,0.20026614685852698,0.1624158451022654,0.1477894306603664,0.11985722826555711,1,1
22,0.11733695088756485,0.97,0.802,0.18564403922960232,0.1488865194621411,0.1380153133111632,0.11068828127555289,0.0770169490824983,0.061767593164163644,1,2
23,0.12173524408232456,0.95,0.793,0.21917838670926942,0.17380846066045066,0.16746484760492397,0.13279962415070473,0.12905514918069982,0.10234073330029496,1,1
24,0.1261571261277044,0.95,0.784,0.32619669952467134,0.25573821242734235,0.25686996963520414,0.20138605619400013,0.20632464274849002,0.16175851991481616,1,2
25,0.1604909778080168,0.95,0.775,0.46808290481487486,0.362764251231528,0.3876704193028306,0.30044457495969373,0.28987201551994624,0.22465081202795834,1,2
26,0.18747197705245805,0.92,0.766,0.47926310764310576,0.367115540454619,0.41046340631418776,0.31441496923666784,0.2587695079933289,0.1982174431228899,1,2
27,0.16741837891059402,0.95,0.757,0.2943993611036989,0.2228603163555001,0.2066989870590159,0.15647113320367506,0.1458498090726283,0.11040830546797961,1,1
28,0.09586583491455386,0.97,0.748,0.19080643993111177,0.14272321706847166,0.07900058351008488,0.05909243646554348,0.04334581721007923,0.03242267127313926,1,1
29,0.08778783707420909,0.96,0.739,0.25619813777172096,0.18933042381330178,0.16841429300060515,0.12445816252744725,0.11810417836532289,0.08727898781197362,1,2
